doy_local,T_soil_5,T_soil_15,T_soil_25,swc_10,swc_30
99.625,11.55,12.805,13.905,20.14,31.35
99.63541667,11.685,12.8125,13.8925,19.5025,31.3325
99.64583333,11.82,12.82,13.88,18.865,31.315
99.65625,11.9775,12.84,13.8675,18.65,31.295
99.66666667,12.135,12.86,13.855,18.435,31.275
99.67708333,12.3075,12.9,13.8425,18.74,31.2525
99.6875,12.48,12.94,13.83,19.045,31.23
99.69791667,12.65,12.97,13.81,18.985,31.2075
99.70833333,12.82,13,13.79,18.925,31.185
99.71875,13.0075,13.05,13.78,18.8125,31.1625
99.72916667,13.195,13.1,13.77,18.7,31.14
99.73958333,13.3975,13.155,13.76,18.84,31.1175
99.75,13.6,13.21,13.75,18.98,31.095
99.76041667,13.8475,13.2925,13.76,18.9575,31.0775
99.77083333,14.095,13.375,13.77,18.935,31.06
99.78125,14.36,13.4625,13.7725,19.0825,31.04
99.79166667,14.625,13.55,13.775,19.23,31.02
99.80208333,14.93,13.6625,13.795,19.805,31.0025
99.8125,15.235,13.775,13.815,20.38,30.985
99.82291667,15.525,13.8975,13.8425,20.6825,30.9625
99.83333333,15.815,14.02,13.87,20.985,30.94
99.84375,16.0675,14.1525,13.9125,21.2975,30.925
99.85416667,16.32,14.285,13.955,21.61,30.91
99.86458333,16.465,14.4175,14,21.565,30.895
99.875,16.61,14.55,14.045,21.52,30.88
99.88541667,16.675,14.6625,14.09,21.4275,30.8675
99.89583333,16.74,14.775,14.135,21.335,30.855
99.90625,16.78,14.87,14.19,20.53,30.8525
99.91666667,16.82,14.965,14.245,19.725,30.85
99.92708333,16.82,15.03,14.2875,19.7625,30.8475
99.9375,16.82,15.095,14.33,19.8,30.845
99.94791667,16.7975,15.16,14.38,19.725,30.84
99.95833333,16.775,15.225,14.43,19.65,30.835
99.96875,16.7375,15.29,14.495,18.74,30.835
99.97916667,16.7,15.355,14.56,17.83,30.835
99.98958333,16.6525,15.41,14.6275,17.545,30.84
100,16.605,15.465,14.695,17.26,30.845
100.0104167,16.5275,15.4975,14.7525,16.005,30.845
100.0208333,16.45,15.53,14.81,14.75,30.845
100.03125,16.33,15.5275,14.835,13.97,30.8425
100.0416667,16.21,15.525,14.86,13.19,30.84
100.0520833,16.075,15.4975,14.875,12.8675,30.84
